# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  140       5.315413734023e-10       1.473573668882e-13      -5.861706376185e-12       0.000000000000e+00       4.320772686852e-12       7.429365013685e-13      -4.678471545194e-15 
  141       5.360196280269e-10       1.473053410195e-13      -5.895152410857e-12       0.000000000000e+00       4.235000043033e-12       7.314565283798e-13      -4.615925273904e-15 
  142       5.404852403887e-10       1.471884659589e-13      -5.925895169547e-12       0.000000000000e+00       4.151367409346e-12       7.202082288416e-13      -4.553445530381e-15 
  143       5.449365973802e-10       1.470070434427e-13      -5.953879432022e-12       0.000000000000e+00       4.069704757095e-12       7.091690285930e-13      -4.490695940487e-15 
  144       5.493721401341e-10       1.467614715189e-13      -5.979051381205e-12       0.000000000000e+00       3.989860596182e-12       6.983190093465e-13      -4.427387872466e-15 
  145       5.537907701613e-10       1.464522783408e-13      -6.001359677631e-12       0.000000000000e+00       3.911813655171e-12       6.876562200604e-13      -4.363498339982e-15 
  146       5.581914804777e-10       1.460800949209e-13      -6.020754563202e-12       0.000000000000e+00       3.835571571090e-12       6.771827915383e-13      -4.299072877398e-15 
  147       5.625732273569e-10       1.456456468368e-13      -6.037187576803e-12       0.000000000000e+00       3.761135708573e-12       6.669001160587e-13      -4.234157273099e-15 
  148       5.669349295252e-10       1.451497559736e-13      -6.050611593982e-12       0.000000000000e+00       3.688501003046e-12       6.568088281124e-13      -4.168797549851e-15 
  149       5.712754673571e-10       1.445933422676e-13      -6.060980866633e-12       0.000000000000e+00       3.617655803916e-12       6.469087851406e-13      -4.103039945160e-15 
  150       5.755936820707e-10       1.439774254483e-13      -6.068251062673e-12       0.000000000000e+00       3.548581717762e-12       6.371990482721e-13      -4.036930891631e-15 
  151       5.798883749224e-10       1.433031267821e-13      -6.072379305722e-12       0.000000000000e+00       3.481253451521e-12       6.276778630617e-13      -3.970516997325e-15 
  152       5.841583064029e-10       1.425716708144e-13      -6.073324214786e-12       0.000000000000e+00       3.415638655680e-12       6.183426402272e-13      -3.903845026121e-15 
  153       5.884021954316e-10       1.417843871131e-13      -6.071045943938e-12       0.000000000000e+00       3.351697767462e-12       6.091899363874e-13      -3.836961878073e-15 
  154       5.926187185528e-10       1.409427120111e-13      -6.065506221993e-12       0.000000000000e+00       3.289383854018e-12       6.002154348000e-13      -3.769914569768e-15 
  155       5.968065091301e-10       1.400481903493e-13      -6.056668392193e-12       0.000000000000e+00       3.228642455613e-12       5.914139260991e-13      -3.702750214687e-15 
  156       6.009641565423e-10       1.391024772196e-13      -6.044497451887e-12       0.000000000000e+00       3.169411428819e-12       5.827792890329e-13      -3.635516003562e-15 
  157       6.050902053781e-10       1.381073397076e-13      -6.028960092210e-12       0.000000000000e+00       3.111620789698e-12       5.743044712015e-13      -3.568259184738e-15 
  158       6.091831546319e-10       1.370646586354e-13      -6.010024737761e-12       0.000000000000e+00       3.055192556998e-12       5.659814697944e-13      -3.501027044526e-15 
  159       6.132414568987e-10       1.359764303050e-13      -5.987661586289e-12       0.000000000000e+00       3.000040595335e-12       5.578013123285e-13      -3.433866887568e-15 
  160       6.172635175695e-10       1.348447682403e-13      -5.961842648367e-12       0.000000000000e+00       2.946070458388e-12       5.497540373858e-13      -3.366826017193e-15 
  161       6.212478058761e-10       1.336718565473e-13      -5.932541673102e-12       0.000000000000e+00       2.893198741215e-12       5.418310150762e-13      -3.299949944640e-15 
  162       6.251932007513e-10       1.324598016982e-13      -5.899733834549e-12       0.000000000000e+00       2.841413389627e-12       5.340321794712e-13      -3.233276880001e-15 
